year,state,forest_area_ha,tree_cover_ha,annual_tree_cover_loss_ha,protected_area_pct,population_density_per_km2,avg_annual_precip_mm,land_use_change_index,cum_loss_since_2011_ha
2011,Andaman & Nicobar,2818620,192120,7407,15.68,300,1205,0.36,7407
2012,Andaman & Nicobar,2836285,170156,29422,13.24,397,1468,0.205,36829
2013,Andaman & Nicobar,2740613,64883,33205,12.03,339,1002,0.086,70034
2014,Andaman & Nicobar,2791070,179594,8342,12.01,304,1306,0.49,78376
2015,Andaman & Nicobar,2774101,166804,10374,9.63,308,1127,0.166,88750
2016,Andaman & Nicobar,2943985,144004,0,16.18,224,1831,0.077,88750
2017,Andaman & Nicobar,2858692,164139,0,15.76,243,1422,0.131,88750
2018,Andaman & Nicobar,2646012,84427,32286,10.05,369,1117,0.391,121036
2019,Andaman & Nicobar,3087673,138988,0,23.15,206,1623,0.182,121036
2020,Andaman & Nicobar,2913547,65441,0,11.57,248,912,0.561,121036
2021,Andaman & Nicobar,2952183,66841,0,14.95,195,2006,0.315,121036
2022,Andaman & Nicobar,2675810,185616,9741,17.17,299,1389,0.185,130777
2023,Andaman & Nicobar,3055492,197456,0,21.21,363,920,0.095,130777
2024,Andaman & Nicobar,2704068,115661,7470,13.46,226,1396,0.339,138247
2025,Andaman & Nicobar,2765675,85081,1391,16.69,235,1474,0.18,139638
2011,Andhra Pradesh,1112554,60313,6800,11.09,269,1197,0.2,6800
2012,Andhra Pradesh,1099146,73243,18150,21.71,292,1087,0.437,24950
2013,Andhra Pradesh,1103047,55326,3609,13.54,249,659,0.087,28559
2014,Andhra Pradesh,1132101,48382,0,14.28,252,1361,0.105,28559
2015,Andhra Pradesh,1097047,35471,3793,12.45,285,859,0.145,32352
2016,Andhra Pradesh,1065532,43630,11352,11.02,284,939,0.25,43704
2017,Andhra Pradesh,1126492,36159,0,14.41,215,1384,0.719,43704
2018,Andhra Pradesh,1167665,52551,0,15.29,406,1300,0.199,43704
2019,Andhra Pradesh,1067968,61449,3942,18.84,333,752,0.365,47646
